fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
COLTIN COLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/coltin-cole-0,Heavyweight,,,,,,,,
CORY CORBIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/cory-corbin,Heavyweight,,,,,,,,
CURTIS BLAYDES,19-5-0,13.0,,3.0,51%,635.0,1250.0,49%,33.0,131.0,3.56,2.0,5.38,0.0,59%,32%,0.17,08:56,309.0,49%,85.0,13%,241.0,38%,434.0,68%,129.0,11%,129.0,20%,13.0,68%,6.0,32%,0.0,0%,https://www.ufc.com/athlete/curtis-blaydes,Heavyweight,57.89473684210527,88.59649122807018,46.55172413793103,70.2127659574468,5.263157894736842,93.10344827586206,32.758620689655174,53.44827586206896
DANILO SUZART,0-1-0,,,,56%,15.0,27.0,,,,4.09,11.73,0.0,0.0,52%,,0.0,03:40,12.0,80%,3.0,20%,0.0,0%,53.0,53%,47.0,47%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/danilo-suzart,Heavyweight,66.66666666666666,61.40350877192983,58.620689655172406,,,19.82758620689655,32.758620689655174,25.862068965517242
DERRICK LEWIS,29-12-0,24.0,,10.0,51%,667.0,1311.0,26%,5.0,38.0,2.51,2.49,0.56,0.0,41%,53%,0.62,08:52,260.0,39%,123.0,18%,284.0,43%,527.0,79%,111.0,17%,83.0,4%,24.0,83%,4.0,14%,1.0,3%,https://www.ufc.com/athlete/derrick-lewis,Heavyweight,57.89473684210527,22.807017543859647,25.862068965517242,43.61702127659575,32.89473684210527,47.41379310344828,32.758620689655174,79.3103448275862
DUSTIN JOYNSON,0-0-0,,,,54%,7.0,13.0,,,,3.28,5.63,0.0,0.0,48%,,0.0,02:08,5.0,71%,2.0,29%,0.0,0%,86.0,86%,14.0,14%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/dustin-joynson,Heavyweight,64.03508771929825,47.368421052631575,41.37931034482759,,,19.82758620689655,32.758620689655174,25.862068965517242
EDUARDO NEVES,0-2-0,,,,66%,40.0,61.0,67%,,3.0,7.69,6.15,5.77,0.0,56%,,0.0,02:36,33.0,83%,3.0,8%,4.0,10%,75.0,75%,15.0,15%,10.0,10%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/eduardo-neves,Heavyweight,93.85964912280701,78.94736842105263,93.10344827586206,87.2340425531915,,96.55172413793103,32.758620689655174,25.862068965517242
ELISHA ELLISON,5-2-0,4.0,1.0,5.0,33%,3.0,9.0,0%,,2.0,1.57,15.13,0.0,0.0,41%,,0.0,01:55,2.0,67%,1.0,33%,0.0,0%,67.0,67%,33.0,33%,80.0,0%,4.0,80%,0.0,0%,1.0,20%,https://www.ufc.com/athlete/elisha-ellison,Heavyweight,5.263157894736842,22.807017543859647,13.793103448275861,12.76595744680851,,19.82758620689655,32.758620689655174,25.862068965517242
FRANK HOLLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/frank-holland,Heavyweight,,,,,,,,
GREG REBELLO,24-8-0,,,,39%,25.0,64.0,,,,2.61,2.92,0.0,0.0,58%,,0.0,04:48,24.0,96%,1.0,4%,0.0,0%,76.0,76%,20.0,4%,63.0,20%,15.0,63%,7.0,29%,2.0,8%,https://www.ufc.com/athlete/greg-rebello,Heavyweight,10.526315789473683,85.08771929824562,29.310344827586203,,,19.82758620689655,32.758620689655174,25.862068965517242
GREG VELASCO,0-1-0,,,,,,,,,,0.0,1.52,0.0,0.0,,,0.0,02:38,0.0,0,0.0,0,0.0,0,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/greg-velasco,Heavyweight,,,1.7241379310344827,,,19.82758620689655,32.758620689655174,25.862068965517242
GUILHERME PAT,0-0-0,,,,,,,,,,,,,,,,,00:00,0.0,0,0.0,0,0.0,0,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/guilherme-pat,Heavyweight,,,,,,,,
