fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
NASRUDIN NASRUDINOV,0-1-0,null,null,null,88%,7,8,50%,null,2,1.03,0.29,2.20,0.00,75%,40%,0.00,06:49,4,57%,0,0%,3,43%,86,86%,14,14%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/nasrudin-nasrudinov,Light Heavyweight
NAVAJO STIRLING,8-0-0,4,null,2,52%,321,614,29%,null,14,6.13,2.60,1.15,0.00,59%,75%,0.57,13:05,273,85%,24,7%,24,7%,147,46%,113,35%,61,19%,4,50%,4,50%,0,0%,https://www.ufc.com/athlete/navajo-stirling,Light Heavyweight
NICOLAE NEGUMEREANU,13-2-0,8,3,6,41%,210,510,29%,null,14,3.58,5.56,1.02,0.00,39%,63%,0.00,09:46,155,74%,49,23%,6,3%,158,75%,32,10%,62,15%,8,62%,2,15%,3,23%,https://www.ufc.com/athlete/nicolae-negumereanu,Light Heavyweight
NIKITA KRYLOV,30-11-0,12,16,23,55%,566,1035,38%,1,50,4.31,2.58,2.17,1.37,45%,53%,0.57,06:34,299,53%,145,26%,122,22%,360,64%,132,23%,74,13%,12,40%,2,7%,16,53%,https://www.ufc.com/athlete/nikita-krylov,Light Heavyweight
OUMAR SY,12-1-0,5,4,8,48%,141,291,37%,2,19,3.67,1.72,2.73,0.39,70%,100%,0.00,09:36,116,82%,12,9%,13,9%,74,52%,39,20%,42,28%,5,42%,3,25%,4,33%,https://www.ufc.com/athlete/oumar-sy,Light Heavyweight
PAULO RENATO JR.,0-2-0,null,null,null,45%,85,187,null,null,null,4.89,5.18,0.00,0.00,57%,100%,0.00,08:41,83,98%,2,2%,0,0%,33,33%,59,8%,59,59%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/paulo-renato-jr,Light Heavyweight
RAFAEL CERQUEIRA,11-3-0,8,2,8,45%,29,65,null,null,null,1.61,4.88,0.00,0.00,37%,40%,0.00,06:01,29,100%,0,0%,0,0%,66,66%,34,0%,73,34%,8,73%,1,9%,2,18%,https://www.ufc.com/athlete/rafael-cerqueira,Light Heavyweight
RAFAEL TOBIAS,1-0-0,null,null,null,31%,13,42,100%,null,1,3.45,3.98,3.98,3.98,40%,null,0.00,03:46,12,92%,1,8%,0,0%,62,62%,38,38%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/rafael-tobias,Light Heavyweight
RODOLFO BELLATO,12-3-1,7,4,8,60%,321,539,35%,1,17,5.13,5.86,1.44,0.24,47%,94%,0.24,10:26,203,63%,65,20%,53,17%,195,61%,69,21%,58,18%,7,58%,1,8%,4,33%,https://www.ufc.com/athlete/rodolfo-bellato,Light Heavyweight
JUNIOR TAFA,6-4-0,6,null,4,51%,141,275,null,null,null,3.19,2.49,0.00,0.00,52%,69%,0.34,07:22,107,76%,25,18%,9,6%,119,84%,21,15%,100,1%,6,100%,0,0%,0,0%,https://www.ufc.com/athlete/shiyunia-tafua,Light Heavyweight
CHRIS BIRCHLER,7-4-0,null,null,null,47%,41,88,null,null,null,9.35,14.83,0.00,0.00,35%,null,0.00,04:23,41,100%,0,0%,0,0%,90,90%,10,10%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/shon-bredi-0,Light Heavyweight
SIMON BIYONG,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/simon-biyong,Light Heavyweight
TANNER BOSER,21-10-1,11,2,4,53%,516,979,null,null,null,4.70,2.75,0.00,0.00,58%,63%,0.27,10:59,451,87%,39,8%,26,5%,248,48%,165,20%,165,32%,11,55%,7,35%,2,10%,https://www.ufc.com/athlete/tanner-boser,Light Heavyweight
TUCO TOKKOS,11-5-0,6,3,6,40%,68,170,47%,null,19,2.12,4.27,4.21,0.47,47%,33%,0.00,08:01,56,82%,5,7%,7,10%,63,63%,29,7%,55,29%,6,55%,2,18%,3,27%,https://www.ufc.com/athlete/tuco-tokkos,Light Heavyweight
TY FLORES,0-1-0,null,null,null,38%,30,80,9%,null,11,2.00,7.80,1.00,0.00,25%,null,0.00,15:00,19,63%,11,37%,0,0%,37,37%,37,37%,27,27%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/ty-flores,Light Heavyweight
URAN SATYBALDIEV,8-1-0,5,2,3,25%,38,150,0%,null,2,2.14,3.66,0.00,1.69,45%,50%,0.85,08:53,34,89%,4,11%,0,0%,53,53%,32,16%,56,32%,5,56%,2,22%,2,22%,https://www.ufc.com/athlete/uran-satybaldiev,Light Heavyweight
VINEESH SUBRAHMANYAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/vineesh-subrahmanyan,Light Heavyweight
VOLKAN OEZDEMIR,20-8-0,13,2,14,49%,738,1518,29%,null,17,4.95,4.22,0.50,0.10,55%,80%,0.60,09:57,588,80%,88,12%,62,8%,458,62%,166,15%,166,22%,13,65%,5,25%,2,10%,https://www.ufc.com/athlete/volkan-oezdemir,Light Heavyweight
