fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
NAZIM SADYKHOV,11-1-1,8,2,4,50%,322,639,56%,1,9,5.55,5.89,1.29,0.26,50%,75%,0.78,09:40,222,69%,60,19%,40,12%,223,69%,72,22%,73,8%,8,73%,1,9%,2,18%,https://www.ufc.com/athlete/nazim-sadykhov,Lightweight
NICK NEWELL,14-1-0,null,null,null,46%,53,114,null,null,null,3.53,4.07,0.00,0.00,36%,33%,0.00,15:00,52,98%,1,2%,0,0%,70,70%,17,13%,17,17%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/nick-newell,Lightweight
NIKOLAS MOTTA,15-6-0,10,null,8,38%,273,712,null,null,null,4.13,5.28,0.00,0.00,52%,83%,1.13,08:16,228,84%,14,5%,31,11%,216,79%,35,13%,67,8%,10,67%,5,33%,0,0%,https://www.ufc.com/athlete/nikolas-motta,Lightweight
NURULLO ALIEV,10-0-0,2,null,1,46%,84,184,55%,3,11,2.43,1.07,2.60,0.00,59%,null,0.00,11:32,28,33%,1,1%,55,65%,87,87%,11,11%,20,2%,2,20%,8,80%,0,0%,https://www.ufc.com/athlete/nurullo-aliev,Lightweight
OTTMAN AZAITAR,13-3-0,10,2,10,45%,83,186,null,null,null,4.43,4.11,0.00,0.00,52%,100%,0.80,03:45,58,70%,17,20%,8,10%,65,65%,29,29%,77,6%,10,77%,1,8%,2,15%,https://www.ufc.com/athlete/ottman-azaitar,Lightweight
PADDY PIMBLETT,23-3-0,7,10,null,54%,324,602,29%,null,14,5.19,3.14,0.96,1.68,42%,50%,0.48,08:56,223,69%,21,6%,80,25%,213,66%,72,12%,72,22%,7,30%,6,26%,10,43%,https://www.ufc.com/athlete/paddy-pimblett,Lightweight
PATRIK WHITE,0-1-0,null,null,null,49%,56,114,null,null,null,9.77,6.28,0.00,0.00,61%,50%,0.00,05:44,46,82%,9,16%,1,2%,70,70%,29,29%,2,2%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/patrik-uayt,Lightweight
QUILLAN SALKILLD,9-1-0,3,3,4,60%,166,277,38%,null,45,5.48,3.46,8.41,0.49,45%,100%,0.49,10:06,126,76%,25,15%,15,9%,93,56%,55,33%,33,11%,3,33%,3,33%,3,33%,https://www.ufc.com/athlete/quillan-salkilld,Lightweight
RAFA GARCIA,18-4-0,2,9,6,46%,578,1270,44%,12,63,4.31,4.54,3.13,0.45,61%,76%,0.11,13:24,485,84%,59,10%,34,6%,451,78%,79,14%,48,8%,2,11%,7,39%,9,50%,https://www.ufc.com/athlete/rafa-garcia,Lightweight
RAFAEL FIZIEV,13-4-0,8,1,6,52%,645,1229,73%,null,11,4.77,4.77,0.89,0.00,51%,90%,0.22,12:17,562,87%,69,11%,14,2%,283,44%,259,40%,103,16%,8,62%,4,31%,1,8%,https://www.ufc.com/athlete/rafael-fiziev,Lightweight
