S/T name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,0–4,5–9,10–14,Total persons,Child_count ,child_density_per_100
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051280,Montrose,424,481,477,6921,1382,19.9682
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051281,Mooroolbark,1658,1574,1541,24258,4773,19.6760
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051282,Mount Dandenong - Olinda,425,542,627,9609,1594,16.5886
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051283,Mount Evelyn,683,733,633,10032,2049,20.4246
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051284,Upwey - Tecoma,551,656,624,9862,1831,18.5662
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051285,Wandin - Seville,480,505,507,7999,1492,18.6523
Victoria,211,Melbourne - Outer East,21105,Yarra Ranges,211051286,Yarra Valley,1015,955,1050,17059,3020,17.7033
Victoria,212,Melbourne - South East,21201,Cardinia,212011289,Emerald - Cockatoo,1096,1216,1392,18958,3704,19.5379
Victoria,212,Melbourne - South East,21201,Cardinia,212011546,Beaconsfield - Officer,2373,2229,1914,28367,6516,22.9704
Victoria,212,Melbourne - South East,21201,Cardinia,212011547,Bunyip - Garfield,598,622,745,10242,1965,19.1857
Victoria,212,Melbourne - South East,21201,Cardinia,212011548,Koo Wee Rup,952,910,793,12009,2655,22.1084
Victoria,212,Melbourne - South East,21201,Cardinia,212011549,Pakenham - North East,1412,1295,1066,16379,3773,23.0356
Victoria,212,Melbourne - South East,21201,Cardinia,212011550,Pakenham - North West,876,872,718,9658,2466,25.5332
Victoria,212,Melbourne - South East,21201,Cardinia,212011551,Pakenham - South East,449,438,329,6706,1216,18.1330
